participant_id,age,sex,handedness
A00044154,53,FEMALE,RIGHT
A00044171,18,FEMALE,RIGHT
A00044291,24,FEMALE,RIGHT
A00044344,63,FEMALE,RIGHT
A00044345,47,FEMALE,RIGHT
A00044369,66,MALE,RIGHT
A00044370,56,FEMALE,LEFT
A00044405,49,FEMALE,RIGHT
A00044408,83,FEMALE,RIGHT
A00044410,71,FEMALE,RIGHT
A00044427,75,FEMALE,RIGHT
A00045554,42,MALE,RIGHT
A00045589,63,MALE,RIGHT
A00045590,29,MALE,RIGHT
A00050677,7,FEMALE,AMBIDEXTEROUS
A00050679,81,FEMALE,RIGHT
A00050720,40,FEMALE,RIGHT
A00050742,53,FEMALE,RIGHT
A00050743,15,FEMALE,RIGHT
A00050795,22,MALE,RIGHT
A00050847,10,MALE,RIGHT
A00050848,16,MALE,RIGHT
A00050940,31,MALE,AMBIDEXTEROUS
A00050977,71,FEMALE,RIGHT
A00050998,47,FEMALE,RIGHT
A00051063,18,MALE,RIGHT
A00051064,19,FEMALE,LEFT
A00051455,77,FEMALE,RIGHT
A00051456,62,FEMALE,RIGHT
A00051457,69,MALE,RIGHT
A00051477,21,MALE,RIGHT
A00051513,40,MALE,RIGHT
A00051514,21,FEMALE,RIGHT
A00051517,67,FEMALE,AMBIDEXTEROUS
A00051528,61,MALE,LEFT
A00051529,57,FEMALE,RIGHT
A00051539,28,FEMALE,RIGHT
A00051548,26,FEMALE,RIGHT
A00051603,18,MALE,RIGHT
A00051604,69,MALE,RIGHT
A00051638,18,FEMALE,RIGHT
A00051658,18,FEMALE,RIGHT
A00051676,32,MALE,RIGHT
A00051678,66,FEMALE,RIGHT
A00051679,27,MALE,RIGHT
A00051690,15,FEMALE,RIGHT
A00051726,18,MALE,RIGHT
A00051727,15,FEMALE,RIGHT
A00051758,15,FEMALE,RIGHT
A00051774,30,MALE,RIGHT
A00051796,78,MALE,RIGHT
A00051835,60,FEMALE,LEFT
A00051882,53,FEMALE,RIGHT
A00051925,49,FEMALE,RIGHT
A00051927,38,FEMALE,RIGHT
A00052069,10,MALE,RIGHT
A00052070,67,MALE,RIGHT
A00052117,42,FEMALE,RIGHT
A00052118,68,FEMALE,LEFT
A00052125,26,FEMALE,RIGHT
A00052126,24,MALE,LEFT
A00052165,8,FEMALE,AMBIDEXTEROUS
A00052180,47,FEMALE,RIGHT
A00052181,37,FEMALE,RIGHT
A00052183,16,MALE,RIGHT
A00052197,18,MALE,RIGHT
A00052214,75,FEMALE,RIGHT
A00052234,66,FEMALE,RIGHT
A00052235,27,MALE,RIGHT
A00052307,22,MALE,RIGHT
A00052319,47,FEMALE,RIGHT
A00052340,33,FEMALE,AMBIDEXTEROUS
A00052461,14,MALE,RIGHT
A00052499,68,FEMALE,RIGHT
A00052500,29,MALE,AMBIDEXTEROUS
A00052502,18,MALE,RIGHT
A00052560,38,MALE,RIGHT
A00052577,50,FEMALE,RIGHT
A00052612,47,FEMALE,RIGHT
A00052613,14,MALE,RIGHT
A00052614,17,FEMALE,RIGHT
A00052639,59,FEMALE,RIGHT
A00053202,43,FEMALE,LEFT
A00053203,10,MALE,RIGHT
A00053320,8,MALE,RIGHT
A00053369,62,FEMALE,RIGHT
A00053390,14,FEMALE,RIGHT
A00053455,38,FEMALE,RIGHT
A00053456,85,FEMALE,RIGHT
A00053473,31,MALE,RIGHT
A00053474,20,MALE,RIGHT
A00053475,30,MALE,RIGHT
A00053490,12,MALE,RIGHT
A00053546,18,MALE,RIGHT
A00053576,20,FEMALE,RIGHT
A00053577,23,FEMALE,RIGHT
A00053578,21,FEMALE,RIGHT
A00053625,72,FEMALE,RIGHT
A00053626,78,FEMALE,RIGHT
A00053627,53,FEMALE,RIGHT
A00053744,17,MALE,RIGHT
A00053850,25,FEMALE,LEFT
A00053851,29,FEMALE,RIGHT
A00053854,33,FEMALE,RIGHT
A00053873,6,MALE,LEFT
A00053874,47,FEMALE,RIGHT
A00053901,43,FEMALE,RIGHT
A00053902,37,FEMALE,RIGHT
A00053927,48,MALE,RIGHT
A00053949,64,MALE,AMBIDEXTEROUS
A00054019,32,FEMALE,AMBIDEXTEROUS
A00054038,68,FEMALE,RIGHT
A00054153,61,MALE,LEFT
A00054173,20,FEMALE,LEFT
A00054206,14,MALE,RIGHT
A00054358,56,FEMALE,RIGHT
A00054441,32,FEMALE,RIGHT
A00054482,71,FEMALE,RIGHT
A00054504,25,FEMALE,RIGHT
A00054532,22,FEMALE,RIGHT
A00054533,21,FEMALE,RIGHT
A00054534,21,FEMALE,AMBIDEXTEROUS
A00054578,9,MALE,AMBIDEXTEROUS
A00054581,10,MALE,RIGHT
A00054621,70,FEMALE,RIGHT
A00054857,39,FEMALE,RIGHT
A00054895,59,FEMALE,RIGHT
A00054897,49,MALE,RIGHT
A00054913,83,FEMALE,RIGHT
A00054914,39,FEMALE,RIGHT
A00054929,73,FEMALE,RIGHT
A00055061,53,FEMALE,RIGHT
A00055076,10,FEMALE,RIGHT
A00055116,15,FEMALE,RIGHT
A00055121,28,MALE,RIGHT
